id,name,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,is_entire_apt,client_district,accommodates,bedrooms,beds,price_clean,minimum_nights,availability_365,number_of_reviews,review_scores_rating,host_is_superhost,estimated_occupancy_l365d,estimated_revenue_l365d
900433883197624838,Modern apartment Gracia,la Vila de Gràcia,Gràcia,41.39729213778303,2.1601385751207896,Entire rental unit,Entire home/apt,True,True,3,1.0,2.0,219.0,3.0,54,66,4.3,False,132,28908.0
901452112874617432,Sunny room,el Besòs i el Maresme,Sant Martí,41.41629,2.2126,Private room in rental unit,Private room,False,False,2,,1.0,74.18,2.0,14,167,4.76,True,255,18916.0
901906217677446977,Cozy Apartment near Plaza Catalunya,la Dreta de l'Eixample,Eixample,41.3903,2.1712,Entire rental unit,Entire home/apt,True,True,2,1.0,2.0,187.0,1.0,339,149,4.77,False,255,47685.0
901919753219829860,Comfy Eixample apartment,l'Antiga Esquerra de l'Eixample,Eixample,41.39231,2.15575,Entire rental unit,Entire home/apt,True,True,2,1.0,1.0,184.67,3.0,322,27,4.41,False,18,3324.0
901924322169072586,Fantastic Studio @central Gracia,la Vila de Gràcia,Gràcia,41.39986761393267,2.162039175587447,Entire rental unit,Entire home/apt,True,True,2,1.0,1.0,66.39,32.0,183,12,5.0,True,128,8498.0
901929615446639614,Passeig de gracia Penthouse with 2 private terrace,la Dreta de l'Eixample,Eixample,41.39282781289927,2.1680905505314745,Entire rental unit,Entire home/apt,True,True,6,3.0,3.0,481.25,3.0,153,108,4.77,True,228,109725.0
901975079946382965,Joana Green,la Sagrada Família,Eixample,41.40379382013114,2.180141878918087,Entire rental unit,Entire home/apt,True,True,4,2.0,3.0,400.0,1.0,157,85,4.73,False,210,84000.0
901985833247628932,room near rambla Barcelona centr,el Raval,Ciutat Vella,41.37963,2.16619,Private room in rental unit,Private room,False,True,1,,1.0,36.26,31.0,364,1,5.0,False,0,0.0
902217340660400299,Habitación Catalanes,Sant Martí de Provençals,Sant Martí,41.415622184013294,2.203130610287189,Private room in rental unit,Private room,False,False,1,,1.0,31.86,30.0,364,0,,False,0,0.0
902235852344475908,Habitación para dos por día/ consultar,el Barri Gòtic,Ciutat Vella,41.38146688683823,2.1756774337093585,Private room in rental unit,Private room,False,True,2,,1.0,108.48,31.0,270,0,,False,0,0.0
902600124454162934,EA Sagrada Familia VI,el Fort Pienc,Eixample,41.399,2.17744,Entire rental unit,Entire home/apt,True,True,4,2.0,4.0,228.0,1.0,324,135,4.5,False,222,50616.0
902616134023182966,"Apartment with pool, garden, and parking by sea",la Vila Olímpica del Poblenou,Sant Martí,41.39074908254854,2.19061858269041,Entire rental unit,Entire home/apt,True,False,6,3.0,8.0,380.94,31.0,334,1,4.0,False,0,0.0
902633104127872054,AB Plaza de Sants,Sants,Sants-Montjuïc,41.37897315717259,2.1347809203964125,Entire rental unit,Entire home/apt,True,False,4,2.0,3.0,222.0,1.0,298,80,4.71,False,132,29304.0
902703827486435640,Dorria - 3 bedrooms in Eixample Dreta,la Dreta de l'Eixample,Eixample,41.40097069377925,2.1669816629566103,Entire rental unit,Entire home/apt,True,True,5,3.0,3.0,122.81,31.0,195,1,5.0,False,62,7614.0
902755691095674088,Amazing 3 bedroom apartment!,el Raval,Ciutat Vella,41.38229090000001,2.1688275,Entire rental unit,Entire home/apt,True,True,6,3.0,3.0,116.0,32.0,55,13,4.77,False,255,29580.0
902980411553793887,Lindo apartamento en poblenou,el Poblenou,Sant Martí,41.404534318458815,2.204852685463008,Entire rental unit,Entire home/apt,True,False,5,2.0,2.0,107.19,32.0,358,0,,False,0,0.0
903014545988500534,Design Flat in BCN center,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,41.38790372225333,2.176803856768297,Entire rental unit,Entire home/apt,True,True,2,1.0,2.0,80.84,31.0,345,10,4.8,False,124,10024.0
903015923217871848,Bedroom with balcony overlooking Paseo de San Juan,el Fort Pienc,Eixample,41.3923533664389,2.18184250633136,Private room in rental unit,Private room,False,True,2,,2.0,133.33,3.0,69,31,4.58,False,78,10400.0
903288670213245947,(Horta) Acogedor apartamento cerca al metro. m,el Carmel,Horta-Guinardó,41.42452,2.15418,Entire rental unit,Entire home/apt,True,False,2,2.0,2.0,71.71,31.0,297,0,,False,0,0.0
903525109008916294,Habitación para una persona con vistas al mar,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,41.40257820109472,2.211738615054797,Private room in rental unit,Private room,False,False,1,,1.0,49.81,31.0,263,0,,False,0,0.0
903603991923124260,Habitación para una persona vistas al mar,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,41.40139,2.20995,Private room in rental unit,Private room,False,False,1,2.0,1.0,49.81,31.0,325,0,,False,0,0.0
903619724350445213,Room with balcony overlooking Paseo San Juan,el Fort Pienc,Eixample,41.3940289,2.1772596,Private room in rental unit,Private room,False,True,2,,1.0,125.67,3.0,86,40,4.5,False,102,12818.0
903624493529945274,Bedroom with two balconies at Paseo San Juan,la Dreta de l'Eixample,Eixample,41.3932,2.1765,Private room in rental unit,Private room,False,True,2,,1.0,175.0,3.0,84,42,4.6,False,108,18900.0
904257762419291262,"Apto 4 habitaciones, 2 baños y terraza BCN Sants",les Corts,Les Corts,41.384309271853866,2.1377711968530653,Entire rental unit,Entire home/apt,True,False,7,4.0,5.0,231.52,3.0,90,38,4.53,False,60,13891.0
904287660578943456,Habitación en Barcelona (Habitación #2),les Corts,Les Corts,41.3858931,2.1342554,Private room in rental unit,Private room,False,False,1,,1.0,22.23,31.0,142,12,4.58,True,248,5513.0
904304588900815879,AB Comte d'Urgell III-I,l'Antiga Esquerra de l'Eixample,Eixample,41.38427690226999,2.1565025781712897,Entire rental unit,Entire home/apt,True,True,5,3.0,5.0,350.0,1.0,307,61,4.39,False,168,58800.0
904362821827685330,Habitación en Barcelona (Habitación #3),les Corts,Les Corts,41.38589312240556,2.1342555060982704,Private room in rental unit,Private room,False,False,1,,1.0,21.5,32.0,240,11,4.82,True,192,4128.0
904763470640042260,Fantastic bright apartment in Barcelona,Sant Antoni,Eixample,41.3807972,2.1591148,Entire rental unit,Entire home/apt,True,True,2,1.0,1.0,77.13,32.0,266,9,4.78,True,255,19668.0
904821609155491360,Gracia 2bd + 1bth with full A/C,la Dreta de l'Eixample,Eixample,41.40011,2.16534,Entire rental unit,Entire home/apt,True,True,5,2.0,2.0,258.75,1.0,72,83,4.53,False,228,58995.0
904844403642967059,Casa de las Flores Barcelona with terrace,la Salut,Gràcia,41.4123152,2.1585314,Entire rental unit,Entire home/apt,True,True,6,2.0,4.0,271.33,3.0,123,116,4.83,False,240,65119.0
904862039328156130,Studio in the city center!,el Fort Pienc,Eixample,41.40004769999999,2.1838485,Entire rental unit,Entire home/apt,True,True,2,1.0,1.0,68.28,31.0,92,0,,False,0,0.0
904927112309119983,¡Aquí te sentirás como en casa!,el Barri Gòtic,Ciutat Vella,41.3813707156344,2.1772921120560307,Private room in rental unit,Private room,False,True,2,,1.0,53.38,32.0,362,0,,False,0,0.0
905531607109157699,Piso con estilo en el mejor barrio de Barcelona,l'Antiga Esquerra de l'Eixample,Eixample,41.38702,2.15272,Entire rental unit,Entire home/apt,True,True,4,2.0,2.0,394.0,1.0,276,135,4.95,True,252,99288.0
905637759064564903,Town House near Plaza España,el Poble Sec,Sants-Montjuïc,41.3692290178401,2.1599165027686205,Entire home,Entire home/apt,True,False,8,3.0,3.0,337.23,31.0,83,0,,False,0,0.0
